Participants	Duration..in.seconds.	Attention.check	Q3	Q4	Q5	Set_News	Type	Number	Accurate	Interesting	Order	Share
293	674	1	1	43	4	FL_417	TN	1	1	3	D	1
297	942	1	1	19	2	FL_417	TN	1	4	1	E	2
299	1282	1	2	34	5	FL_417	TN	1	3	6	E	2
1	198	1	2	20	2	FL_417	FN	22	3	4	C	2
5	138	1	1	21	5	FL_417	FN	22	1	3	C	1
10	374	1	1	30	5	FL_417	FN	22	3	3	C	1
12	217	1	2	19	3	FL_417	FN	22	2	4	A	1
13	269	1	2	20	4	FL_417	FN	22	3	5	C	2
15	228	1	3	20	3	FL_417	FN	22	3	2	C	1
16	260	1	2	51	5	FL_417	FN	22	3	2	A	1
24	371	1	2	67	6	FL_417	FN	22	2	5	A	5
27	367	1	2	40	5	FL_417	FN	22	3	3	C	2
31	378	1	2	37	3	FL_417	FN	22	2	5	C	2
32	278	1	1	18	2	FL_417	FN	22	3	2	A	1
36	212	1	1	32	5	FL_417	FN	22	3	2	A	1
37	340	1	1	50	4	FL_417	FN	22	3	1	C	1
40	502	1	1	33	2	FL_417	FN	22	3	5	A	1
41	246	1	1	27	5	FL_417	FN	22	2	5	C	3
43	206	1	2	25	5	FL_417	FN	22	2	2	A	3
50	261	1	1	31	5	FL_417	FN	22	3	4	A	2
52	91	1	2	20	3	FL_417	FN	22	3	6	C	4
53	294	1	2	18	2	FL_417	FN	22	3	6	A	5
58	410	1	2	31	3	FL_417	FN	22	4	6	A	5
60	102	1	1	27	6	FL_417	FN	22	2	4	A	3
61	210	1	1	33	2	FL_417	FN	22	3	2	C	2
63	219	1	1	38	5	FL_417	FN	22	2	3	C	2
71	337	1	2	23	5	FL_417	FN	22	2	5	C	2
73	193	1	2	27	5	FL_417	FN	22	3	3	A	1
75	204	1	1	24	2	FL_417	FN	22	2	6	C	3
78	262	1	3	35	3	FL_417	FN	22	3	5	C	3
83	228	1	2	18	3	FL_417	FN	22	3	6	A	4
91	157	1	1	38	5	FL_417	FN	22	3	5	C	4
93	351	1	1	43	3	FL_417	FN	22	4	5	A	5
99	353	1	1	23	4	FL_417	FN	22	2	2	C	1
102	244	1	2	53	4	FL_417	FN	22	2	4	A	5
105	271	1	2	36	6	FL_417	FN	22	2	1	A	1
107	317	1	2	20	3	FL_417	FN	22	3	2	C	2
112	153	1	2	24	5	FL_417	FN	22	2	4	A	4
113	951	1	1	18	2	FL_417	FN	22	1	4	C	1
117	557	1	2	66	4	FL_417	FN	22	4	4	C	2
118	429	1	2	23	4	FL_417	FN	22	3	3	A	2
119	266	1	2	47	3	FL_417	FN	22	3	3	A	1
120	191	1	2	41	2	FL_417	FN	22	1	5	C	1
122	552	1	2	39	3	FL_417	FN	22	2	5	C	2
123	195	1	2	46	6	FL_417	FN	22	3	2	A	1
129	233	1	2	46	5	FL_417	FN	22	3	4	C	4
132	780	1	2	18	2	FL_417	FN	22	1	4	A	3
133	224	1	1	18	2	FL_417	FN	22	3	4	A	5
134	209	1	1	22	2	FL_417	FN	22	3	3	A	4
135	146	1	1	19	2	FL_417	FN	22	1	4	A	1
137	232	1	1	30	5	FL_417	FN	22	3	6	C	5
141	212	1	1	30	5	FL_417	FN	22	3	2	C	1
148	172	1	1	29	6	FL_417	FN	22	3	5	A	4
150	249	1	1	19	3	FL_417	FN	22	3	4	C	2
159	521	1	1	34	4	FL_417	FN	22	2	4	A	1
163	572	1	2	57	2	FL_417	FN	22	1	2	A	1
164	275	1	2	37	5	FL_417	FN	22	3	4	A	4
165	359	1	1	38	4	FL_417	FN	22	3	3	A	2
170	479	1	2	39	5	FL_417	FN	22	3	5	C	4
175	178	1	1	18	3	FL_417	FN	22	1	5	C	1
177	597	1	2	42	6	FL_417	FN	22	3	6	A	6
178	304	1	1	37	5	FL_417	FN	22	1	2	A	1
183	308	1	2	50	5	FL_417	FN	22	4	4	C	1
184	289	1	2	38	6	FL_417	FN	22	3	4	A	2
187	225	1	2	29	5	FL_417	FN	22	2	4	C	1
189	240	1	2	41	5	FL_417	FN	22	3	3	A	3
191	268	1	1	24	5	FL_417	FN	22	2	5	C	3
192	334	1	2	63	5	FL_417	FN	22	4	6	A	5
193	193	1	2	32	5	FL_417	FN	22	2	4	C	3
204	227	1	1	34	5	FL_417	FN	22	3	6	A	4
205	185	1	2	36	3	FL_417	FN	22	2	5	C	1
211	183	1	1	37	5	FL_417	FN	22	3	5	C	1
213	340	1	2	69	5	FL_417	FN	22	3	5	C	4
223	194	1	1	19	3	FL_417	FN	22	1	4	C	5
228	175	1	1	22	3	FL_417	FN	22	3	4	A	4
229	167	1	2	58	3	FL_417	FN	22	3	6	A	5
230	322	1	2	50	5	FL_417	FN	22	2	4	A	2
231	151	1	2	35	5	FL_417	FN	22	3	4	C	2
234	241	1	1	32	3	FL_417	FN	22	4	5	C	4
237	299	1	3	22	1	FL_417	FN	22	3	5	A	4
243	188	1	2	24	5	FL_417	FN	22	2	3	A	2
